ID;Abbreviazione;Denominazione;Benennung;Descrizione;Beschreibung;Localita;Linea;Linie;VarA;VarR;NumLin
70;CITY LA;215 Citybus Lana;215 Citybus Lana;Lana Autostazione-Postal Stazione (per Via Bolzano);Lana Busbhf.-Burgstall Bhf (ueber Boznerstr.);Merano-Meran;215 via Via Bolzano;215 ueber Boznerstr.;;5622;215
71;TIROLO;221 Tirolo;221 Tirol;Merano-Tirolo-Merano;Meran-Dorf Tirol-Meran;Merano-Meran;221;221;5501;5501;221
72;CROCE T;222 Tirolo Croce;222 Tiroler Kreuz;Tirolo Croce-Tirolo-Monte Benedetto-Tirolo-Tirolo Croce;Tiroler Kreuz-Dorf Tirol Segenbuehel-Dorf Tirol-Tiroler Kreuz;Merano-Meran;222;222;5502;5502;222
73;ZEN-FIN;223 Zenoburg Finale;223 Zenoburg Finele;Tirolo-Finale-via Aica-Tirolo;Dorf Tirol-Finele-Aichweg-Dorf Tirol;Merano-Meran;223;223;3001;;223
74;VERNURIO;224 Vernurio;224 Vernuer;Vernurio-Rifiano-Tirolo- Rifiano-Vernurio;Vernuer-Riffian-Dorf Tirol-Riffian-Vernuer;Merano-Meran;224;224;1616;1616;224
75;VERNURIO;224 Vernurio;224 Vernuer;Caines Sonngarten-Vernurio-Caines Sonngarten;Kuens Sonngarten-Vernuer-Kuens Sonngarten;Merano-Meran;224 da Sonngarten;224 ab Sonngarten;5519;5519;224
76;VERNURIO;224 Vernurio;224 Vernuer;Vernurio-Rifiano-Caines Sonngarten-Tirolo-Rifiano-Vernurio;Vernuer-Riffian-Kuens Sonngarten-Dorf Tirol-Riffian-Vernuer;Merano-Meran;224 V-T-V per Sonngarten;225 V-T-V ueber Sonngarten;;;224
77;ME-AV;225 Merano Avelengo Falzeben/Verano;225 Meran Hafling Falzeben/Voeran;Merano Stazione-Avelengo-Falzeben-Avelengo-Merano Stazione;Meran Bahnhof-Hafling-Falzeben-Hafling-Meran Bahnhof;Merano-Meran;225;225;5505;5505;225
78;ME-AV;225 Merano Avelengo Falzeben/Verano;225 Meran Hafling Falzeben/Voeran;Avelengo-Falzeben-Avelengo;Hafling-Falzeben-Hafling;Merano-Meran;225 Av-Falz;225 Haf-Falz;5507;5507;225
79;ME-AV;225 Merano Avelengo Falzeben/Verano;225 Meran Hafling Falzeben/Voeran;Merano Stazione-Avelengo-Verano-Avelengo-Merano Stazione;Meran Bahnhof-Hafling-Voeran-Hafling-Meran Bahnhof;Merano-Meran;225 Verano;225 Voeran;5529;5529;225
80;ME-AV;225 Merano Avelengo Falzeben/Verano;225 Meran Hafling Falzeben/Voeran;Avelengo-Verano-Avelengo;Hafling-Voeran-Hafling;Merano-Meran;225 Ver-Av;225 Haf-Voeran;5518;5518;225
81;NIGHTSH;231 Nightshuttle;231 Nightshuttle;Verdines-Merano-Gargazzone-Lana-Lagundo-Merano;Verdins-Meran-Gargazon-Lana-Algund-Meran;Merano-Meran;231 da Verdines;231 ab Verdins;5731;;231
82;NIGHTSH;231 Nightshuttle;231 Nightshuttle;Merano-Gargazzone-Lana-Lagundo-Merano;Verdins-Meran-Gargazon-Lana-Algund-Meran;Merano-Meran;231;231;5732;;231
83;NIGHTSH;231 Nightshuttle;231 Nightshuttle;Merano-Gargazzone-Lana-Lagundo-Merano-Verdines;Meran-Gargazon-Lana-Algund-Meran-Verdins;Merano-Meran;231 a Verdines;231 bis Verdins;5733;;231
84;SKIBUS;SKIBUS Merano;SKIBUS Meran;Avelengo - S. Caterina - Falzeben;Hafling - St. Kathrein - Falzeben;Merano-Meran;SKI Avelengo;SKI Hafling;5526;;SKI
85;SKIBUS;SKIBUS Merano;SKIBUS Meran;H. Viktoria - Falzeben;H. Viktoria - Falzeben;Merano-Meran;SKI Viktoria;SKI Viktoria;5510;;SKI
86;SKIBUS;SKIBUS Merano;SKIBUS Meran;Brunnerhof - Falzeben;Brunnerhof - Falzeben;Merano-Meran;SKI Brunner;SKI Brunner;5512;;SKI
87;SKIBUS;SKIBUS Merano;SKIBUS Meran;H. Sonneheim - Falzeben;H. Sonneheim - Falzeben;Merano-Meran;SKI Sonnenheim;SKI Sonnenheim;5511;;SKI
